Id|PK_Asset|FK_Company|FK_LifeCycle|Breakeven Gas Price|Breakeven Oil Price|Development cost pr boe|Longitude|Latitude|FK_OtherParameter
14701|32567|10|14|4.0|31.6|0.8558478951|4.570099831|55.819198608|3
14702|32568|168|2|\\N|\\N|4.4880476|5.223599911|55.387699127|3
14703|32568|10|2|\\N|\\N|4.4880476|5.223599911|55.387699127|3
14704|32568|685|2|\\N|\\N|4.4880476|5.223599911|55.387699127|3
14705|32570|168|14|3.1|25.0|2.175896883|4.293900013|56.333999634|3
14706|32570|685|14|3.1|25.0|2.175896883|4.293900013|56.333999634|3
14707|32570|10|14|3.1|25.0|2.175896883|4.293900013|56.333999634|3
14708|32572|685|14|3.8|30.6|3.046295166|4.497600079|55.606899261|3
14711|32573|168|7|5.5|43.9|21.595842361|4.684899807|55.844398499|75
14712|32573|10|7|5.5|43.9|21.595842361|4.684899807|55.844398499|75
14715|32574|10|2|\\N|\\N|9.640504837|4.611599922|55.579799652|3
14716|32574|685|2|\\N|\\N|9.640504837|4.611599922|55.579799652|3
14718|32575|10|7|6.6|52.7|36.847564697|3.754100084|56.208400726|75
14722|32580|10|8|7.4|59.6|28.868558884|5.204599857|55.476898193|75
14724|32581|168|2|\\N|\\N|1.326949716|4.888100147|55.655899048|3
14735|32586|12830|14|0.2|105.8|7.060862064|4.915999889|56.486400604|3
14737|32589|685|14|3.6|28.6|0.3597190082|5.108699799|55.562000275|3
14738|32589|10|14|3.6|28.6|0.3597190082|5.108699799|55.562000275|3
14744|32596|12830|2|\\N|\\N|\\N|3.96690011|56.243198395|3
14750|32603|12830|14|0.2|93.3|19.662000656|5.414999962|56.682098389|3
14756|32607|685|24|15.2|121.5|41.874336243|4.293900013|56.333999634|3
14761|32610|16|24|\\N|\\N|\\N|4.425000191|56.313301086|3
14768|32616|16|24|\\N|\\N|\\N|5.269999981|56.290000916|3
14774|32623|685|24|7.7|61.6|30.677202225|4.276400089|55.91109848|3
14719|32575|168|7|6.6|52.7|36.847564697|3.754100084|56.208400726|75
14742|32593|18340|14|0.2|50.9|26.545631409|4.761700153|56.406600952|3
14745|32597|16|9|6.1|49.1|22.532342911|4.410099983|56.130699158|75
14755|32606|16|24|\\N|\\N|\\N|5.126699924|55.694999695|3
