Id|Historic Company|Historical Company Segment|Historical Company Subsegment
3|Shell|Major|Major Europe
6|Chevron|Major|Major America N
10|TotalEnergies|Major|Major Europe
16|Relinquished|Unspecific (Other/Open/Relinquished)|Unspecific (Other/Open/Relinquished)
26|Hess|Independent|Independent America N
41|PGNiG (Polish Oil & Gas Company)|INOC|INOC Europe
103|Dana Petroleum|E&P Company|E&P Company Europe
164|Edison|Industrial|Industrial Europe
168|Noreco|E&P Company|E&P Company Europe
2770|Danoil Exploration|E&P Company|E&P Company Europe
2910|Hansa Hydrocarbons|E&P Company|E&P Company Europe
8924|Petrogas|E&P Company|E&P Company Middle East
9704|Other liquids|Unspecific (Other/Open/Relinquished)|Unspecific (Other/Open/Relinquished)
12573|Discover Exploration Limited|E&P Company|E&P Company Europe
17835|Neptune Energy|Independent|Independent Europe
18247|ONE-Dyas|E&P Company|E&P Company Europe
18340|Wintershall Dea|Independent|Independent Europe
20195|Bayerngas|Industrial|Industrial Europe
20460|DONG|NOC|NOC Europe
20833|Jutland Petroleum|Exploration Company|Exploration Company Europe
21073|Nordic Energy|Exploration Company|Exploration Company Europe
21103|Odin Energy Ltd|Exploration Company|Exploration Company Australia
21830|Wintershall|Independent|Independent Europe
685|Danish North Sea Fund|NOC|NOC Europe
12830|Ineos Group|Industrial|Industrial Europe
20433|DEA (LetterOne)|Investor|Investor Europe
21054|New World Oil & Gas|Exploration Company|Exploration Company Europe
21818|Wexco Aps|Exploration Company|Exploration Company Europe
21772|Verbundnetz Gas (VNG)|Industrial|Industrial Europe
1084|Spyker Energy|E&P Company|E&P Company Europe
9703|Refinery Gains|Unspecific (Other/Open/Relinquished)|Unspecific (Other/Open/Relinquished)
12255|Ardent Oil|Exploration Company|Exploration Company Europe
20932|Maersk Oil|Independent|Independent Europe
21074|Nordsofonden|Exploration Company|Exploration Company Europe
20488|Dyas|E&P Company|E&P Company Europe
11168|KNOC/Dana|INOC|INOC Europe
17824|Spirit Energy|Independent|Independent Europe
20425|Danica Resources|Exploration Company|Exploration Company Europe
