Id|Fk_Asset|FK_OtherParameter|FK_Company|FK_OilAndGas|FK_HistoricCompany|FK_DataQuality|FK_LifeCycleTS|FK_LifeCycle|FK_OilAndGasType|NPV Current Year Forward Case|NPV Current Year High Case|NPV Current Year Low Case|NPV Current Year|NPV Current Year Mid Case|NPV Current Year Low Low Case|NPV Current Year Mid Low Case|NPV Current Year Low Low Low Case|NPV Current Year Mid Low Low Case|NPV Current Year Mid Mid Low Case|NPV Current Year Mid Mid Low Low Case
51353|32607|3|10|2|10|30|24|24|10|0.1340000033|0.2860000134|0.0700000003|0.09899999946|0.2370000035|0.03290000185|0.1580000073|9.3000000342726707E-3|9.8099999129772186E-2|0.18600000441074371|0.12800000607967377
51356|32607|3|168|9|168|30|24|24|15|0.01049999986|0.0251000002|0.03330000117|0.007000000216|0.01999999955|0.0006000000285|0.01279999968|-1.7000000225380063E-3|6.8999999202787876E-3|1.5599999576807022E-2|9.8999999463558197E-3
51358|32607|111|168|12|168|30|24|24|6|2.099999905|\\N|2.5|\\N|\\N|2.690000057|1.940000057|2.8499999046325684|2.3199999332427979|1.6599999666213989|2.1099998950958252
51360|32614|3|168|9|168|30|24|24|15|0.01020000037|0.02490000054|0.003599999938|0.007000000216|0.01999999955|0.0006000000285|0.01229999959|-1.2000000569969416E-3|6.8000000901520252E-3|0.01510000042617321|9.4999996945261955E-3
51361|32614|111|10|2|10|30|24|24|10|-0.1099999994|-0.2450000048|-0.07710000128|-0.08089999855|-0.200000003|-0.02559999935|-0.1289999932|-7.3000001721084118E-3|-7.9000003635883331E-2|-0.15399999916553497|-0.10400000214576721
51366|32614|3|168|2|168|30|24|24|10|0.09380000085|0.2090000063|0.06570000201|0.06889999658|0.1700000018|0.02180000022|0.1099999994|6.3000000081956387E-3|6.7299999296665192E-2|0.13099999725818634|8.8399998843669891E-2
51370|32614|3|685|9|685|30|24|24|15|0.0055999998|0.01350000035|0.001900000032|0.003800000064|0.01090000011|0.0003999999899|0.006699999794|-6.0000002849847078E-4|3.7000000011175871E-3|8.2000000402331352E-3|5.2000000141561031E-3
51371|32614|3|10|4|10|30|24|24|11|0.3889999986|0.5799999833|-0.1099999994|0.1620000005|0.3459999859|-0.1809999943|0.1319999993|-0.2669999897480011|2.3000000510364771E-3|0.19499999284744263|6.3900001347064972E-2
51390|32621|111|12830|2|12830|30|24|24|10|-0.08569999784|-0.173999995|-0.03269999847|-0.06939999759|-0.1529999971|-0.02300000004|-0.08820000291|-6.2000001780688763E-3|-6.9300003349781036E-2|-0.10400000214576721|-8.0899998545646667E-2
51378|32614|111|10|4|10|30|24|24|11|-0.3889999986|-0.5799999833|0.1099999994|-0.1620000005|-0.3459999859|0.1809999943|-0.1319999993|0.2669999897480011|-2.3000000510364771E-3|-0.19499999284744263|-6.3900001347064972E-2
51383|32619|3|12830|2|12830|30|24|24|10|0.1230000034|0.3770000041|0.08299999684|0.09619999677|0.2870000005|0.04729999974|0.2560000122|9.7000002861022949E-3|9.6299998462200165E-2|0.20299999415874481|0.12099999934434891
51384|32619|111|12830|2|12830|30|24|24|10|-0.1230000034|-0.3770000041|-0.08299999684|-0.09619999677|-0.2870000005|-0.04729999974|-0.2560000122|-9.7000002861022949E-3|-9.6299998462200165E-2|-0.20299999415874481|-0.12099999934434891
51385|32619|111|12830|9|12830|30|24|24|15|-0.007400000002|-0.0307|-0.003299999982|-0.005200000014|-0.02260000072|9.999999747e-05|-0.01209999993|3.7000000011175871E-3|-5.2000000141561031E-3|-6.8099997937679291E-2|-6.8999999202787876E-3
51388|32621|111|12830|12|12830|30|24|24|8|2.450000048|1.779999971|2.720000029|2.609999895|2|2.849999905|2.319999933|2.9800000190734863|2.6099998950958252|2.2000000476837158|2.4700000286102295
51395|32621|3|12830|12|12830|30|24|24|8|-2.450000048|-1.779999971|-2.720000029|-2.609999895|-2|-2.849999905|-2.319999933|-2.9800000190734863|-2.6099998950958252|-2.2000000476837158|-2.4700000286102295
51312|32604|75|10|9|10|30|3|9|15|0|0|0.6560000181|0|0|0.3720000088|0|0.12800000607967377|0.91600000858306885|0|0
51314|32604|75|10|4|10|30|3|9|11|0|0|7.239999771|0|0|1.080000043|0|-1.6499999761581421|9.7700004577636719|0|0
51321|32604|3|685|4|685|30|3|9|11|7.590000153|21.719999313|0|0|15.81000042|0|8.430000305|0|0|11.949999809265137|6.4600000381469727
51322|32604|3|168|9|168|30|3|9|15|1.120000005|2.319999933|0|0|1.879999995|0|1.220000029|0|0|1.440000057220459|1
51331|32604|39|168|12|168|30|3|9|6|0|0|0|37.310001373|0|0|0|0|0|0|0
51335|32607|111|10|4|10|30|24|24|11|-0.4569999874|\\N|0.1949999928|2.579999924|\\N|0.2300000042|-0.1609999985|0.34799998998641968|2.7400000020861626E-2|-0.23199999332427979|-4.6100001782178879E-2
51337|32607|3|168|12|168|30|24|24|6|-2.099999905|-1.100000024|-2.5|0.1169999987|-1.399999976|-2.690000057|-1.940000057|-2.8499999046325684|-2.3199999332427979|-1.6599999666213989|-2.1099998950958252
51341|32607|3|10|9|10|30|24|24|15|0.01229999959|0.02950000018|0.0390000008|0.00829999987|0.0234999992|0.000699999975|0.01499999966|-2.0000000949949026E-3|8.2000000402331352E-3|1.8300000578165054E-2|1.1599999852478504E-2
51397|32621|3|18340|2|18340|30|24|24|10|0.06740000099|0.1369999945|0.02569999918|0.05449999869|0.1199999973|0.01810000092|0.06930000335|4.9000000581145287E-3|5.4499998688697815E-2|8.2000002264976501E-2|6.3600003719329834E-2
51402|32623|3|685|2|685|30|24|24|10|0.0802000016|0.1780000031|0.03370000049|0.05950000137|0.1449999958|0.02070000023|0.09399999678|7.0000002160668373E-3|5.8499999344348907E-2|0.11100000143051147|7.5999997556209564E-2
51453|32638|3|18340|12|18340|30|24|24|8|-0.126000002|0.2590000033|-0.3000000119|-0.2179999948|0.1319999993|-0.3740000129|-0.06400000304|-0.44999998807907104|-0.21799999475479126|4.999999888241291E-3|-0.14100000262260437
51553|32645|3|2770|12|2770|30|24|24|6|-0.002499999944|0.00829999987|-0.007100000046|-0.003199999919|0.0055999998|-0.008999999613|-0.0003999999899|-1.0999999940395355E-2|-4.9000000581145287E-3|3.1999999191612005E-3|-2.899999963119626E-3
51013|32560|3|168|12|168|30|14|14|8|132.880004883|203.13999939|51.299999237|130.220001221|176.339996338|40.36000061|103.660003662|30.920000076293945|69.080001831054688|146.19000244140625|87.430000305175781
51054|32561|3|10|4|10|30|14|14|11|0|-2.589999914|0|0|-4.599999905|0|0|0|0|0|0
51368|32614|111|685|12|685|30|24|24|6|\\N|\\N|0.3919999897|\\N|\\N|0.4720000029|\\N|0.55699998140335083|\\N|\\N|\\N
51391|32621|3|18340|9|18340|30|24|24|15|0.01389999967|0.01590000093|0.002000000095|0.003500000108|0.01260000002|0.0008999999845|0.007499999832|-6.99999975040555E-4|3.5000001080334187E-3|9.2000002041459084E-3|5.4999999701976776E-3
51333|32604|75|10|12|10|30|3|9|6|0|0|21.200000763|0|0|2.5|0|-17.739999771118164|42.869998931884766|0|0
51334|32604|39|10|12|10|30|3|9|6|0|0|0|43.799999237|0|0|0|0|0|0|0
51339|32607|3|685|12|685|30|24|24|6|-1.139999986|-0.59799999|-1.360000014|0.06350000203|-0.7639999986|-1.460000038|-1.059999943|-1.5499999523162842|-1.2599999904632568|-0.90100002288818359|-1.1499999761581421
51350|32607|111|10|2|10|30|24|24|10|-0.1340000033|\\N|-0.0700000003|-0.09899999946|\\N|-0.03290000185|-0.1580000073|-9.3000000342726707E-3|-9.8099999129772186E-2|-0.18600000441074371|-0.12800000607967377
