Id|FK_Asset|Year|FK_Company|FK_OilAndGas|FK_DataQuality|FK_OtherParameter|FK_HistoricCompany|FK_LifeCycleTS|FK_LifeCycle|FK_OilAndGasType|Production|Production Forward Case|Production High Case|Production Low Case|Production Mid Case|Production Low Low Case|Production Mid Low Case|Production Low Low Low Case|Production Mid Low Low Case|Production Mid Mid Low Case|Production Mid Mid Low Low Case
28626150|89094|2100|9703|11|29|12|9703|30|30|21|0.1089999974|0.1089999974|0.1089999974|0.1089999974|0.1089999974|0.1089999974|0.1089999974|0.10899999737739563|0.10899999737739563|0.10899999737739563|0.10899999737739563
28383859|109270|2097|9704|10|29|12|9704|26|26|23|0|0|0|0|0|0|0|0|0|0|0
28611792|32640|2100|685|9|29|12|685|31|24|20|0|0|0|0|0|0|0|0|0|0|0
28611797|32640|2100|2770|9|29|12|2770|31|24|18|0|0|0|0|0|0|0|0|0|0|0
28611818|32640|2100|17835|9|29|12|17835|31|24|18|0|0|0|0|0|0|0|0|0|0|0
19502428|280717|2054|10|12|29|12|10|1|6|8|\\N|\\N|0.02710000053|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
19502439|280717|2054|685|12|29|120|685|1|6|8|0|0|\\N|0|\\N|0|0|0|0|0|0
19502448|280718|2054|685|12|29|120|685|14|6|8|-0.1599999964|-0.1599999964|\\N|0|\\N|0|\\N|0|-0.15999999642372131|\\N|-0.15999999642372131
18918713|105466|2053|685|9|29|12|685|14|24|18|0|0|0|0|0|0|0|0|0|0|0
19475345|238914|2054|685|12|29|12|685|16|24|8|0.007499999832|0.007499999832|0.007499999832|0.007499999832|0.007499999832|0.007499999832|0.007499999832|7.4999998323619366E-3|7.4999998323619366E-3|7.4999998323619366E-3|7.4999998323619366E-3
19334350|97385|2054|16|4|29|12|16|14|9|11|\\N|\\N|0.03819999844|\\N|0.03819999844|\\N|\\N|\\N|\\N|\\N|\\N
28611809|32640|2100|17824|4|29|12|17824|31|24|11|0|0|0|0|0|0|0|0|0|0|0
28611811|32640|2100|17824|9|29|12|17824|31|24|18|0|0|0|0|0|0|0|0|0|0|0
28611816|32640|2100|17835|4|29|12|17835|31|24|11|0|0|0|0|0|0|0|0|0|0|0
25479735|109270|2075|9704|10|29|12|9704|26|26|23|0|0|0|0|0|0|0|0|0|0|0
18918721|105466|2053|12830|9|29|12|12830|14|24|19|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
19475346|238914|2054|18247|2|29|12|18247|16|24|10|0.001200000057|0.001200000057|0.001200000057|0.001200000057|0.001200000057|0.001200000057|0.001200000057|1.2000000569969416E-3|1.2000000569969416E-3|1.2000000569969416E-3|1.2000000569969416E-3
19419791|194789|2054|168|12|29|12|168|2|24|8|0|0.0005000000237|0.0005000000237|0|0.0005000000237|0|0.0005000000237|0|0|5.0000002374872565E-4|5.0000002374872565E-4
19419804|194791|2054|10|9|29|12|10|14|24|20|0|0|0|0|0|0|0|0|0|0|0
26003089|89094|2078|9703|11|29|12|9703|30|30|21|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.224999994|0.22499999403953552|0.22499999403953552|0.22499999403953552|0.22499999403953552
1299406|32565|1984|10|12|1|12|6|17|14|8|0.4920000136|0.4920000136|0.4920000136|0.4920000136|0.4920000136|0.4920000136|0.4920000136|0.49200001358985901|0.49200001358985901|0.49200001358985901|0.49200001358985901
20810773|32645|2058|685|9|29|12|685|14|24|19|0|0|0|0|0|0|0|0|0|0|0
19502438|280717|2054|685|12|29|84|685|1|6|8|0|0|\\N|0|\\N|0|0|0|0|0|0
18918715|105466|2053|685|9|29|12|685|14|24|20|0|0|0|0|0|0|0|0|0|0|0
19419811|194791|2054|168|9|29|12|168|14|24|20|0|0|0|0|0|0|0|0|0|0|0
19419812|194791|2054|168|12|29|12|168|14|24|8|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|0.002400000114|2.4000001139938831E-3|2.4000001139938831E-3|2.4000001139938831E-3|2.4000001139938831E-3
19879088|238910|2055|1084|2|29|12|1084|14|24|10|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
19879100|238910|2055|2770|9|29|12|2770|14|24|20|0|0|0|0|0|0|0|0|0|0|0
22758975|32649|2064|685|9|29|12|685|2|24|20|0|0|0|0|0|0|0|0|0|0|0
22758960|32560|2064|168|12|29|120|168|1|14|8|0|\\N|\\N|\\N|\\N|\\N|\\N|\\N|0|\\N|-0.30500000715255737
1445715|32556|1986|10|2|1|12|20932|17|2|10|1.110000014|1.110000014|1.110000014|1.110000014|1.110000014|1.110000014|1.110000014|1.1100000143051147|1.1100000143051147|1.1100000143051147|1.1100000143051147
1445716|32556|1986|10|4|21|12|6|17|2|11|1.129999995|1.129999995|1.129999995|1.129999995|1.129999995|1.129999995|1.129999995|1.1299999952316284|1.1299999952316284|1.1299999952316284|1.1299999952316284
1445739|32561|1986|10|12|1|12|20932|17|14|8|3.369999886|3.369999886|3.369999886|3.369999886|3.369999886|3.369999886|3.369999886|3.369999885559082|3.369999885559082|3.369999885559082|3.369999885559082
1445762|32572|1986|685|4|21|12|3|17|14|11|0.009200000204|0.009200000204|0.009200000204|0.009200000204|0.009200000204|0.009200000204|0.009200000204|9.2000002041459084E-3|9.2000002041459084E-3|9.2000002041459084E-3|9.2000002041459084E-3
1299393|32560|1984|685|4|21|12|6|17|14|11|0.01499999966|0.01499999966|0.01499999966|0.01499999966|0.01499999966|0.01499999966|0.01499999966|1.4999999664723873E-2|1.4999999664723873E-2|1.4999999664723873E-2|1.4999999664723873E-2
23594655|32560|2067|10|4|29|84|10|1|14|11|0|\\N|\\N|\\N|\\N|\\N|\\N|\\N|0|\\N|0
20593833|194789|2057|10|4|29|12|10|2|24|11|0|0|0|0|0|0|0|0|0|0|0
20593848|194789|2057|685|9|29|12|685|2|24|17|0|0|0|0|0|0|0|0|0|0|0
20593885|194793|2057|168|9|29|12|168|14|24|19|0|0|0|0|0|0|0|0|0|0|0
20955861|194793|2058|168|2|29|12|168|2|24|10|0|0.0001999999949|0.0001999999949|0|0.0001999999949|0|0|0|0|1.9999999494757503E-4|0
21507700|32607|2060|168|4|29|12|168|2|24|11|0|0.008700000122|0.008700000122|0|0.008700000122|0|0.008700000122|0|0|8.7000001221895218E-3|0
21507750|32624|2060|2770|9|29|12|2770|1|24|17|0|0|0|0|0|0|0|0|0|0|0
2591364|89094|1998|9703|11|21|12|9703|30|30|21|0.8399999738|0.8399999738|0.8399999738|0.8399999738|0.8399999738|0.8399999738|0.8399999738|0.8399999737739563|0.8399999737739563|0.8399999737739563|0.8399999737739563
4547261|32555|2013|685|4|21|12|685|16|14|11|0.01999999955|0.01999999955|0.01999999955|0.01999999955|0.01999999955|0.01999999955|0.01999999955|1.9999999552965164E-2|1.9999999552965164E-2|1.9999999552965164E-2|1.9999999552965164E-2
22758970|32649|2064|685|2|29|12|685|2|24|10|0|9.999999747e-05|9.999999747e-05|0|9.999999747e-05|0|9.999999747e-05|0|0|9.9999997473787516E-5|0
23324894|32560|2066|685|12|29|12|685|1|14|8|\\N|0.1010000035|0|0|0|0|0|\\N|\\N|0|\\N
1299380|32556|1984|685|2|1|12|3|17|2|10|0.04270000011|0.04270000011|0.04270000011|0.04270000011|0.04270000011|0.04270000011|0.04270000011|4.2700000107288361E-2|4.2700000107288361E-2|4.2700000107288361E-2|4.2700000107288361E-2
20593883|194793|2057|168|9|29|12|168|14|24|17|0|0|0|0|0|0|0|0|0|0|0
20672308|280718|2057|10|12|29|12|10|2|6|8|\\N|\\N|0|\\N|0|\\N|0|\\N|\\N|0|\\N
21006027|238910|2058|1084|4|29|12|1084|2|24|11|0|0|0.0001999999949|0|0.0001999999949|0|0|0|0|1.9999999494757503E-4|0
21006038|238910|2058|2770|9|29|12|2770|2|24|20|0|0|0|0|0|0|0|0|0|0|0
20955826|194789|2058|685|2|29|12|685|2|24|10|0|0|0|0|0|0|0|0|0|0|0
20955834|194791|2058|10|4|29|12|10|2|24|11|0|0.001500000013|0.001500000013|0|0.001500000013|0|0.001500000013|0|0|1.500000013038516E-3|0
2767731|32558|2000|685|2|1|12|6|15|14|10|0.05389999971|0.05389999971|0.05389999971|0.05389999971|0.05389999971|0.05389999971|0.05389999971|5.3899999707937241E-2|5.3899999707937241E-2|5.3899999707937241E-2|5.3899999707937241E-2
2767824|32572|2000|10|12|1|12|6|16|14|8|0.06260000169|0.06260000169|0.06260000169|0.06260000169|0.06260000169|0.06260000169|0.06260000169|6.2600001692771912E-2|6.2600001692771912E-2|6.2600001692771912E-2|6.2600001692771912E-2
28611800|32640|2100|2770|12|29|12|2770|31|24|6|0|0|0|0|0|0|0|0|0|0|0
19419827|194792|2054|168|2|29|12|168|2|24|10|0|0|9.999999747e-05|0|9.999999747e-05|0|0|0|0|0|0
19475335|238910|2054|11168|9|29|12|11168|14|24|18|0|0|0|0|0|0|0|0|0|0|0
