Id|FK_OilAndGas|FK_Asset|FK_OtherParameter|FK_LifeCycleTS|FK_LifeCycle|FK_Company|FK_HistoricCompany|FK_Reserves|FK_OilAndGasType|1P Reserves|2P Reserves|Original Resources|Remaining Resources|1P Reserves Forward Case|1P Reserves High Case|1P Reserves Low Case|1P Reserves Mid Case|1P Reserves  Low Low Case|1P Reserves Mid Low Case|1P Reserves Low Low Low Case|1P Reserves Mid Low Low Case|1P Reserves Mid Mid Low Case|1P Reserves Mid Mid Low Low Case|2P Reserves Forward Case|2P Reserves High Case|2P Reserves Low Case|2P Reserves Mid Case|2P Reserves  Low Low Case|2P Reserves Mid Low Case|2P Reserves Low Low Low Case|2P Reserves Mid Low Low Case|2P Reserves Mid Mid Low Case|2P Reserves Mid Mid Low Low Case|Original Resources Forward Case|Original Resources High Case|Original Resources Low Case|Original Resources Mid Case|Original Resources  Low Low Case|Original Resources Mid Low Case|Original Resources Low Low Low Case|Original Resources Mid Low Low Case|Original Resources Mid Mid Low Case|Original Resources Mid Mid Low Low Case|Remaining Resources Forward Case|Remaining Resources High Case|Remaining Resources Low Case|Remaining Resources Mid Case|Remaining Resources  Low Low Case|Remaining Resources Mid Low Case|Remaining Resources Low Low Low Case|Remaining Resources Mid Low Low Case|Remaining Resources Mid Mid Low Case|Remaining Resources Mid Mid Low Low Case
713518|2|97385|75|9|9|16|16|2|10|0|0|0|0.04659999907|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.6599999070167542E-2|0|4.6599999070167542E-2|4.6599999070167542E-2|4.5200001448392868E-2|4.6599999070167542E-2|0|4.6599999070167542E-2
713520|2|97385|75|25|9|16|16|5|10|0|0|0.9330000281|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.93300002813339233|0|0.93199998140335083|0.93300002813339233|0|0|0|0|0|0|0|0|0|0|0|0|0|0
713528|4|97385|39|9|9|16|16|1|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0499999523162842|0|0|0|0|0|0|0|1.0499999523162842|0
713544|9|97385|39|9|9|16|16|3|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.83600002527236938|0|0|0|0|0|0|0|0.83600002527236938|0
713549|9|97385|111|9|9|16|16|2|15|0|0|0|-0.04399999976|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-4.3999999761581421E-2|0|-4.3999999761581421E-2|-4.3999999761581421E-2|-4.2599998414516449E-2|-4.3999999761581421E-2|0|-4.3999999761581421E-2
928900|4|122542|3|31|31|2770|2770|2|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.3000000035390258E-3|0|1.3000000035390258E-3|0|0|0|0|0|0
845726|4|113026|39|3|3|2770|2770|3|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.56800001859664917|0
713517|2|97385|39|25|9|16|16|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.93300002813339233|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
744703|2|105466|3|25|24|12830|20195|5|10|0|0|0.0103000002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0300000198185444E-2|1.0300000198185444E-2|1.0300000198185444E-2|1.0300000198185444E-2|1.0099999606609344E-2|1.0300000198185444E-2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
744713|4|105466|3|24|24|12830|12830|3|11|0|0|0|0.04969999939|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.9699999392032623E-2|4.9699999392032623E-2|4.3299999088048935E-2|4.9699999392032623E-2|4.0399998426437378E-2|4.9699999392032623E-2|4.0399998426437378E-2|4.3299999088048935E-2|4.9699999392032623E-2|4.7200001776218414E-2
744718|4|105466|3|25|24|17835|21772|5|11|0|0|0.03209999949|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.2099999487400055E-2|3.2099999487400055E-2|2.8000000864267349E-2|3.2099999487400055E-2|2.6100000366568565E-2|3.2099999487400055E-2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
754725|2|105982|3|31|31|16|16|2|10|0|0|0|0.1570000052|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874|0.15700000524520874
754728|4|105982|3|31|31|16|16|1|11|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|2.9500000476837158|3|2.7999999523162842|3|2.630000114440918|3|3|3
